cores,mem,time
1,2000,33.39120101928711
1,4000,33.499022006988525
1,6000,33.27005410194397
1,8000,33.352163791656494
2,4000,23.18165397644043
2,8000,23.14049768447876
2,12000,23.28224802017212
2,16000,23.986172914505005
3,6000,23.055774211883545
3,12000,23.06045627593994
3,18000,23.254724264144897
3,24000,23.084352254867554
4,8000,23.25422716140747
4,16000,23.701435089111328
4,24000,23.721500873565674
4,32000,23.386432647705078
5,10000,23.222021341323853
5,20000,22.93049383163452
5,30000,23.413195848464966
5,40000,23.32377314567566
6,12000,23.279611349105835
6,24000,23.2009379863739
6,36000,23.230093479156494
6,48000,23.065394639968872
7,14000,23.22963523864746
7,28000,23.041346788406372
7,42000,23.7478928565979
7,56000,23.781947374343872
8,16000,22.95584464073181
8,32000,23.206903219223022
8,48000,23.274882078170776
8,64000,23.04029154777527
9,18000,23.213123321533203
9,36000,23.177613258361816
9,54000,23.228797674179077
9,72000,23.409762620925903
10,20000,23.183507680892944
10,40000,23.12663197517395
10,60000,23.191571950912476
10,80000,23.32912802696228
11,22000,23.17267680168152
11,44000,23.297150373458862
11,66000,23.198972940444946
11,88000,23.06313967704773
12,24000,23.30801510810852
12,48000,23.066831350326538
12,72000,23.05256962776184
12,96000,23.282151222229004
13,26000,22.98354434967041
13,52000,23.391576528549194
13,78000,23.218258380889893
13,104000,23.037572860717773
14,28000,23.201053142547607
14,56000,23.20680856704712
14,84000,23.23213768005371
14,112000,23.12600803375244
15,30000,23.265923500061035
15,60000,23.169912576675415
15,90000,23.1697895526886
15,120000,23.23864459991455
